"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"5274907","9787208018303","","抗战时期的上海文学 =Kang zhan shi qi de Shang hai wen xue ","陈青生 著","上海人民出版社","","","","","","820.9","kangzhanshiqideshanghaiwenxue","","","Y","Y",""
"697962","9788972911272","","아시아·태평양 1996 =통권 2호 /Asia·Pacific 1996 ","서울대지역종합연구소 편","까치","","93300","25000","","","349.1","아시아태평양1996통권2호asiapacific1996","서울대지역종합연구소편","1996-08-20","Y","Y","8972911275"
"3410477","9788901214443","","두둥, 무서운 기생충이 입장하였습니다 ","서민 지음 ;김석 그림","웅진씽크빅","","74470","","","","511","두둥,무서운기생충이입장하였습니다","서민지음김석그림","","Y","Y",""
"3403387","9788901214450","","두둥, 무서운 기생충이 입장하였습니다 ","서민 지음 ;김석 그림","웅진씽크빅","","74470","12000","http://image.aladin.co.kr/product/9923/22/cover/8901214458_1.jpg","기생충에 대한 기본적인 사실부터, 다양한 기생충들이 살아가는 방식과 기생충에 대한 잘못된 지식까지 밝혀 주는 지식 교양서이다. 그러면서 정말로 숙주에게 해를 끼치는 무서운 기생충에는 어떤 것들이 있는지 하나하나 알려 준다.","511","두둥,무서운기생충이입장하였습니다","서민지음김석그림","2016-12-21","Y","Y",""
"3416052","9788956893839","","중독, 안돼! ","김경옥 글 ;박연경 그림","꿈소담이","","74810","10000","http://image.aladin.co.kr/product/10340/2/cover/8956893837_1.jpg","학교 안전 교육 7대 표준안에 따른 안전 동화. 약물의 오.남용, 담배와 간접흡연, 술의 유해성, 음주 운전, 인터넷 사용 습관, 컴퓨터게임 중독, 스마트폰 중독 등 어린이뿐 아니라 어른들이 일상생활을 하면서 겪을 수 있는 다양한 유형의 중독 상황을 담았다.","372.42","중독,안돼","김경옥글박연경그림","2016-11-30","Y","Y","9788956893839"
"3392291","9788956893761","","중독, 안돼! ","김경옥 글 ;박연경 그림","꿈소담이","","74810","100000","https://image.aladin.co.kr/product/22269/32/cover/8956893764_1.jpg","학교 안전 교육의 범위를 7개로 구분한 교육부의 ‘학교 안전 교육 7대 표준안’을 바탕으로 하여, ‘생활 안전’ 영역을 3개 영역으로 분리하고, ‘폭력 및 신변 안전’ 영역을 2개 영역으로 분리해 총 10개 영역으로 구분했다.","372.42","중독,안돼","김경옥글박연경그림","2017-03-20","Y","Y",""
"5277925","9788924044119","","여러 가지 동물 ","지은이: 박재형","Pubple(퍼플)","","73400","7600","https://bookthumb-phinf.pstatic.net/cover/137/469/13746935.jpg?type=m1&udate=20180626","저는 올해 6학년이 된 박재형입니다. 처음에는 이 책을 만들 생각조차를 하지 않았는데 반 선생님께서 한번 해보자고 하셔서 한번 만들게 되었습니다. 처음 만드는 책이라서 좀 많이 부족한 면이 있을 것 같습니다. 그래도 이 책을 사셔서 저의 책을 봐주시니 좀 긴장되는 면도 있지만 고마운 면이 더 큰 것... ","491","여러가지동물","지은이박재형","2016-12-23","Y","Y",""
"5277936","9788924044676","","인권 변호사, 나도 할 수 있을까? :고등학교에서 펼쳐가는, 인권 변호사의 꿈 ","한혜정 지음","대구외국어고등학교","","43190","12400","https://bookthumb-phinf.pstatic.net/cover/135/451/13545197.jpg?type=m1&udate=20180418","대한민국의 평범한 한 고등학생이 인권 변호사가 되기 위해 준비해 온 과정을 서술하고 어떻게 하면 인권 변호사가 될 수 있을지 서술한 책.","321.55","인권변호사,나도할수있을까고등학교에서펼쳐가는,인권변호사의꿈","한혜정지음","2016-11-22","Y","Y",""
"5277934","9788924044577","","여린 떨림 :exhibition of art ","진초아 지음","Pubple(퍼플)","","03600","38700","https://bookthumb-phinf.pstatic.net/cover/134/441/13444182.jpg?type=m1&udate=20180317","열일곱의 끝을 향하며 열여덟의 시작을 앞둔 시점, 아직은 고등학생인 저자는 미술 전시회를 보러 다니기 시작한다. 이후, 딱딱하고 지루하다고만 느끼던 미술 전시회에 대한 고정관념이 깨지기 시작한다. 미술 전시회에 대해서 잘 몰랐던 저자였지만, 이제는 그 저자가 『여린 떨림 [;EXIHIBITION OF ART]... ","650","여린떨림exhibitionofart","진초아지음","2016-12-07","Y","Y",""
"5277636","9791195014156","","(評訳) 草衣(チョイ) 禅師『茶神傳(ダシンジョン)』·『東茶頌(ドンダソン)』 :中国主要茶書との比較および論評 ","張意恂 著 ;金秀聲 訳","ヘチャソンル","","03380","","","","381.79","","","","Y","Y",""
"5278125","9784022736871","","天皇と憲法 :皇室典範をどう変えるか ","著者: 島田裕巳","朝日新聞出版","","0236","10960","https://image.aladin.co.kr/product/9436/84/cover/4022736879_2.jpg","","362.013","","","2016-10-13","Y","Y",""
"5278347","9784881774267","","日本とヨーロッパ·中東·アフリカ諸国との租税条約 :コンパクト解説 ","矢内一好 著","財経詳報社","","3034","35250","https://bookthumb-phinf.pstatic.net/cover/108/132/10813241.jpg?type=m1&udate=20170416","","329.4","","","2016-07-28","Y","Y",""
"5826803","9788996234234","","내가할래요 :언어치료 ","만든이: 조윤경,그림: 박경애","대한사회복지개발원","","73000","28000","https://bookthumb-phinf.pstatic.net/cover/167/124/16712416.jpg?type=m1","아동의 언어발달 단계에 따라 언어지도를 할 때 사용되는 상황별 그림 자료들을 모은 교재 ","375.1","내가할래요언어치료","만든이조윤경,그림박경애","2020-09-28","Y","Y",""
"2161390","9788986956504","","내 아이가 책을 좋아하게 하려면 ","곽정란 지음","차림","","23370","10000","https://bookthumb-phinf.pstatic.net/cover/001/685/00168523.jpg?type=m1&udate=20130629","좋은 책을 고르는 법, 다양한 독서 감상 활동 방법 등을 담은 독서 교육 지침서. 저자의 어린이 책읽기 지도와 관련된 체험을 바탕으로 쓰여진 책이다. 독서 지도법과 함께 단계별로 정리한 추천도서목록 및 도서 비평을 담고 있다.","029.8","내아이가책을좋아하게하려면","곽정란지음","2004-03-15","Y","Y","8986956500"
"3745768","9791160190687","","산림기후 모니터링 체계 구축 =Forest climate monitoring system ","집필인: 원명수,김경하","국립산림과학원","","93520","","","","453.9911","산림기후모니터링체계구축forestclimatemonitoringsystem","집필인원명수,김경하","","Y","Y",""
"2513600","9788988596029","","영상 미학에 관한 몇 가지 논리 ","정태수 편역","하제","","93680","8000","https://bookthumb-phinf.pstatic.net/cover/013/502/01350283.jpg?type=m1&udate=20111121","영화,영상예술에 있어서 가장 중요한 요소는 역시 화 면 내에서 일어난 공간과 시간,그리고 관객과의 관계 일 것이다. 모든 예술 수법의 등장은 바로 이러한 근 본적 문제로부터 출발한 것이라 할 수 있다. 영화시학,거리 몽타주 혹은 거리이론 등 5개 장으로 설명했다.","688.01","영상미학에관한몇가지논리","정태수편역","1999-10-25","Y","Y","8988596021"
"664281","9788975550379","","펄쿠아에서 블루진 송을 :앤 타일러 장편소설 ","앤 타일러 지음 ;한혜숙 옮김","지영사","","32810","3800","","소설 속에 등장하는 시 46편을 숲, 바다, 삶과 꿈, 옛사랑 등  여섯가지 주제별로 묶었다.","843.5","펄쿠아에서블루진송을앤타일러장편소설","앤타일러지음한혜숙옮김","1995-02-01","Y","Y","8975550370"
"1796417","9788982991011","","그리움은 그림이다 :박인식 기행 에세이 ","지은이: 박인식","문예마당","","03810","9800","http://image.aladin.co.kr/product/26/74/cover/6000023532_1.gif","서양미술사의 위대한 화가들이 있게 한 유럽의 도시를 여행하면서, 그 화가들의 삶과 지은이의 개인적인 체험을 담은 에세이 모음집이다. 지은이가 거쳐간 도시들은 빈, 피렌체, 밀라노, 마드리드, 오슬로 등이며, 이 도시들에서 만난 화가들은 클림트와 미켈란젤로, 레오나르도 다 빈치, 고야, 뭉크로 이어진다.","816.62","그리움은그림이다박인식기행에세이","지은이박인식","2001-02-20","Y","Y","8982991018"
"2393362","9788985412735","","유비쿼터스 홈 네트워킹 서비스 =Home networking service for the ubiquitous age ","저자: 양재수,전호인","전자신문사","","93560","23000","https://bookthumb-phinf.pstatic.net/cover/001/558/00155836.jpg?type=m1&udate=20160924","'유비쿼터스'와 '홈 네트워크' 전문서. 사람들은 IT와 컴퓨터의 발전으로 '유비쿼터스'라는 새로운 세계에 접어들고 있다. '유비쿼터스'는 유 · 무선망, 고정 · 이동통신망, 방송 · 통신망, 등이 하나로 연결되어 언제, 어디서나, 어떤 단말기로도 네트워크에 접속할 수 있는 통?D된 환경이다. '홈 네트워크'는 유... ","004.5714","유비쿼터스홈네트워킹서비스homenetworkingservicefortheubiquitousage","저자양재수,전호인","2004-06-25","Y","Y","8985412736"
"2463841","9788937207624","","곽영일 파워 생활영어 :밥 먹듯이 쉬운 생활영어! ","지은이: 곽영일","대산출판사","","18740","10000","http://image.aladin.co.kr/product/22/7/cover/8937207621_1.gif","밥먹듯이 쉬운 생활영어-언어기능을 중심으로 회화 습관을 디자인한 고품격 생활영어 안내서. 보고 듣고 생각하고 그러나 늘 닫혀지는 답답한 입안에 시원한 산 소를 공급하는 살아있는 영어 설명서. 테이프 포함.","747.5","곽영일파워생활영어밥먹듯이쉬운생활영어","지은이곽영일","2000-02-15","Y","Y","8937207621:"
"5276833","9791127207595","","임하릭어 신약성경 =Amharic Bible ","저자: 정호칭","","","03230","","","","233","임하릭어신약성경amharicbible","저자정호칭","","Y","Y",""
"5808007","9791195693016","","제자story :1년차 3·4분기 ","집필: 이재섭,김장인","에브리데이","","","","","","235","제자story1년차34분기","집필이재섭,김장인","","Y","Y",""
"5280512","9791187482000","","제자story :1년차 3·4분기 ","집필: 이재섭,김장인","에브리데이","","74230","5000","https://image.aladin.co.kr/product/9817/21/cover/k012535051_1.jpg","토론식 주일학교 공과 교재이다. 초등학교 4∼6학년(11∼13세)을 대상으로 하는 초등부 1년차-3.4분기 성경공과로, 각 부서별 눈높이에 맞게 집필하여 모든 부서가 '동일한 주제의 다른 본문'으로 교회와 가정에서 '토론식 성경공부'가 가능하다.","235","제자story1년차34분기","집필이재섭,김장인","2016-07-01","Y","Y",""
"5280522","9791195693085","","Follow me :1년차 3·4분기 ","집필: 이재섭,김장인","에브리데이","","44320","5000","https://image.aladin.co.kr/product/9818/29/cover/k672535052_1.jpg","'성경적 세계관'의 틀과 문화를 도구로 '믿음의 다음세대'를 세우는 '토론식' 주일학교 공과 교재이다. 이 공과는 시대정신에 익숙한 '다른세대'가 아닌, 하나님의 나라를 위해 헌신할 '다음세대' 양육에 관심이 있는 교회와 지도자들을 위한 것이다.","235","followme1년차34분기","집필이재섭,김장인","2016-07-01","Y","Y",""
"5913038","9791195693023","","말씀과 톡(talk) :1년차 1·2분기 ","집필: 이재섭,김장인","에브리데이","","","","","","235","말씀과톡talk1년차12분기","집필이재섭,김장인","","Y","Y",""
"5280519","9791195693061","","말씀과 톡(talk) :1년차 1·2분기 ","집필: 이재섭,김장인","에브리데이","","44230","5000","https://image.aladin.co.kr/product/9817/64/cover/k652535051_1.jpg","토론식 주일학교 공과 교재이다. 중학교 1∼3학년(14∼16세)을 대상으로 하는 중등부 1년차-1·2분기 성경공과로, 3년 커리큘럼을 위한 2년차, 3년차 성경공과가 계속해서 발행이 되며, 각 부서별(유년, 초등, 중등, 고등) 눈높이에 맞게 집필하였다.","235","말씀과톡talk1년차12분기","집필이재섭,김장인","2016-01-01","Y","Y",""
"5913037","9791195693030","","말씀 팔로우 :1년차 1·2분기 ","집필: 이재섭,김장인","에브리데이","","","","","","235","말씀팔로우1년차12분기","집필이재섭,김장인","","Y","Y",""
